,precision,recall,f1-score,support
definitivo,1.0,1.0,1.0,50.0
desvirtuado,0.20233463035019456,0.5,0.2880886426592798,104.0
favorable,0.4311377245508982,0.4931506849315068,0.46006389776357826,146.0
no_listado,0.9769736842105263,0.7747826086956522,0.8642095053346266,1150.0
presunto,0.3475609756097561,0.57,0.4318181818181818,100.0
accuracy,0.7238709677419355,0.7238709677419355,0.7238709677419355,0.7238709677419355
macro avg,0.5916014029442751,0.6675866587254318,0.6088360455151333,1550.0
weighted avg,0.8337191895122142,0.7238709677419355,0.7639698691785074,1550.0
