,precision,recall,f1-score,support
kickback,1.0,1.0,1.0,50.0
no_esquema,1.0,0.9976190476190476,0.99880810488677,2100.0
phantom_vendor,1.0,1.0,1.0,50.0
revenue_inflation,0.9090909090909091,1.0,0.9523809523809523,50.0
round_tripping,1.0,1.0,1.0,50.0
threshold_splitting,1.0,1.0,1.0,50.0
accuracy,0.997872340425532,0.997872340425532,0.997872340425532,0.997872340425532
macro avg,0.9848484848484849,0.9996031746031746,0.9918648428779537,2350.0
weighted avg,0.9980657640232109,0.997872340425532,0.9979217310133042,2350.0
